"Applied when a relay point ID is available.","Appliquée quand un ID de point relais est disponible."
"Applied when the shipping address is compatible.","Appliquée quand l'adresse de livraison est compatible."
"Check Pickup Point IDs Using the GLS API","Vérifier les IDs de points relais en utilisant l'API GLS"
"Enable Express Delivery","Activer la livraison Express"
"Enable Home Delivery","Activer la livraison Chez Vous"
"Enable Home Plus Delivery","Activer la livraison Chez Vous +"
"Enable Pickup Point Delivery","Activer la livraison en point relais"
"Enable to apply when a relay point ID is available.","Activer pour appliquer quand ID de point relais est disponible."
"Enable to apply when the shipping address is compatible.","Activer pour appliquer quand l'adresse de livraison est compatible."
"Enabled options above have priority.","Les options activées ci-dessus ont la priorité."
"Pickup point IDs made of 10 digits will be considered valid.","Les IDs de points relais composés de 10 chiffres seront considérés valides."
"Pickup point IDs will be checked using the GLS API.","Les IDs de points relais seront vérifiés en utilisant l'API GLS."
